Compañia,Direccion,URL
"1. Deeam Pharmaceutical S.A,","La Joya Etapa Zafiro Mz 7, Villa 15",https://www.paginas-amarillas.com.ec/empresas/deeam-pharmaceutical-sa/guayaquil-34015525?ad=80640931
2. Kywi Supercentro Ferretero,"Av Agustín Freire e Isidro Ayora, Diagonal al Monumento A Roldós",https://www.paginas-amarillas.com.ec/empresas/kywi-supercentro-ferretero/guayaquil-30707984?ad=80545286
3. Lin Flower´S Floristería,"Av Domingo Comín y Vicente Trujillo, Ciudadela la Pradera 1, Mz A2, Vll 24",https://www.paginas-amarillas.com.ec/empresas/lin-flowers-floristeria/guayaquil-34016781?ad=80642350
4. Big Máster,Calle 25 AVA. 1213 (ismael Perez Castro) Entre Portete y Argentina,https://www.paginas-amarillas.com.ec/empresas/big-master/guayaquil-32348606?ad=80641237
5. Topesa S.A.,Atiende en Guayaquil desde su sede principal en Quito,https://www.paginas-amarillas.com.ec/empresas/topesa-sa/guayaquil-30713269?ad=80545347
6. D´Todo Un Poco Bazar Y Papelería,"Cdla. Orquídeas Mz. 1050, Vll. 30",https://www.paginas-amarillas.com.ec/empresas/dtodo-un-poco-bazar-y-papeleria/guayaquil-34103007?ad=80644674
7. Duramas Cía.Ltda.,Av Juan Tanca Marengo Km 2 1/2,https://www.paginas-amarillas.com.ec/empresas/duramas-cialtda/guayaquil-30703685?ad=80543669
8. Decomendez S.A.,Av Machala 1608 Sucre-Colón Naval Suroria Metrovia,https://www.paginas-amarillas.com.ec/empresas/decomendez-sa/guayaquil-30911894?ad=51037995
9. Bloques Moleculares Bloqmol S.A.,Noguchi 1806 Argentina,https://www.paginas-amarillas.com.ec/empresas/bloques-moleculares-bloqmol-sa/guayaquil-30911348?ad=51039070
10. Dreersacorp S.A.,Cl Segunda 601 E Avenida 5Ta Y 6Ta Rf/ Detras De Deprati Sur Cdla. 9 De Octubre,https://www.paginas-amarillas.com.ec/empresas/dreersacorp-sa/guayaquil-30929105?ad=51039774
11. Compania Agricola E Industrial Alfadomus C.L.,Av Freire Solar 1 Av.Juan Tanca Marengo - Fco. Orellana Cc Dicentro,https://www.paginas-amarillas.com.ec/empresas/compania-agricola-e-industrial-alfadomus-cl/guayaquil-30919757?ad=51040055
12. Cufis S.A.,Baquerizo Moreno 910 V.M. Rendon,https://www.paginas-amarillas.com.ec/empresas/cufis-sa/guayaquil-30926853?ad=51041244
13. Clafer S.A.,Baquerizo Moreno 910 V.M. Rendon,https://www.paginas-amarillas.com.ec/empresas/clafer-sa/guayaquil-30909143?ad=51041641
14. Dolmen SA,Av Juan Tanca Marengo Km 1 1/2 38 Agustin Freire C.C. Dicentro Local 38 Tarqui,https://www.paginas-amarillas.com.ec/empresas/dolmen-sa/guayaquil-30928933?ad=51042783
15. Comercial Inmobiliaria Taurus C.A. Cointa,Jose Vicente Trujillo 301 6 De Marzo,https://www.paginas-amarillas.com.ec/empresas/comercial-inmobiliaria-taurus-ca-cointa/guayaquil-30920681?ad=51043091
16. Electro Ceramica Del Pacifico S.A. Paelepsa,Jiguas 500A Av Victor Emilio Estrada Imporpasa,https://www.paginas-amarillas.com.ec/empresas/electro-ceramica-del-pacifico-sa-paelepsa/guayaquil-30913595?ad=51045380
17. Bloques Sanson S.A. Sanblosa,Av Juan Tanca Marengo Manz 20 S.L.15 Coop De Vda Gquil,https://www.paginas-amarillas.com.ec/empresas/bloques-sanson-sa-sanblosa/guayaquil-30911349?ad=51045702
18. Importadora Y Exportadora Del Ecuador Andretta Imporandretta S.A.,Velez 901 6 De Marzo,https://www.paginas-amarillas.com.ec/empresas/importadora-y-exportadora-del-ecuador-andretta-imporandretta-sa/guayaquil-30942868?ad=51050947
19. Industrial Victoria C.L.,Balsamos 904 Higueras E Ilanes Urdesa Central,https://www.paginas-amarillas.com.ec/empresas/industrial-victoria-cl/guayaquil-30937783?ad=51051224
20. Dborjmer S.A.,Manz Q-2 7 La Atarazana,https://www.paginas-amarillas.com.ec/empresas/dborjmer-sa/guayaquil-30926172?ad=51051998
21. Kobari S.A.,Lotz San Fco Km 8 5 Via Daule Km 8 1/2 Manz 3 Solar 13,https://www.paginas-amarillas.com.ec/empresas/kobari-sa/guayaquil-30920091?ad=51055649
22. Ladrillex S.A.,Colón 526 Chimborazo Y Boyaca Diario Meridiano,https://www.paginas-amarillas.com.ec/empresas/ladrillex-sa/guayaquil-30941656?ad=51056221
23. Fiquil SA,Primera 1116 E Jiguas Y Laureles Urdesa Central,https://www.paginas-amarillas.com.ec/empresas/fiquil-sa/guayaquil-30935302?ad=51060455
24. Industria Ecuamarmol S.A.,Cdla La Garzota Manz S 9 S 19 20 21 29 Hno Miguel Cdla La Garzota,https://www.paginas-amarillas.com.ec/empresas/industria-ecuamarmol-sa/guayaquil-30938725?ad=51063649
25. Industrial De Ceramicas Durisol SA,Av Juan Tanca Marengo Km 2 5 38 Avda Francisco De Orellana C.C. Dicentro Tarqui,https://www.paginas-amarillas.com.ec/empresas/industrial-de-ceramicas-durisol-sa/guayaquil-30937760?ad=51063675
26. Industrial Inmobiliaria Marfann SA,Avda Segunda 601 Calle Tercera,https://www.paginas-amarillas.com.ec/empresas/industrial-inmobiliaria-marfann-sa/guayaquil-30917374?ad=51063686
27. Grapilsa S.A.,Atarazana Solar 17 Manz I1 Cdla. Atarazana,https://www.paginas-amarillas.com.ec/empresas/grapilsa-sa/guayaquil-30935730?ad=51064467
28. Husarescorp S.A.,Av Los Olmos Solar 8 Manz 3 Piso 5,https://www.paginas-amarillas.com.ec/empresas/husarescorp-sa/guayaquil-30942234?ad=51064799
29. Plycem Del Ecuador S.A.,Km 16 5 Via Duran Tambo,https://www.paginas-amarillas.com.ec/empresas/plycem-del-ecuador-sa/guayaquil-30925070?ad=51065519
30. Porcelana Andina Poran C.A.,Malecon Alfaro V-5 Calle Septima Manz C,https://www.paginas-amarillas.com.ec/empresas/porcelana-andina-poran-ca/guayaquil-30952177?ad=51065576
31. Prefabricados De Hormigon S.A. Prehorsa,Ilanes 505 Av Primera Urdesa Central,https://www.paginas-amarillas.com.ec/empresas/prefabricados-de-hormigon-sa-prehorsa/guayaquil-30952559?ad=51069606
32. Prefamapre S.A.,Av Juan Tanca Marengo Av Francisco De Orellana Dicentro,https://www.paginas-amarillas.com.ec/empresas/prefamapre-sa/guayaquil-30925208?ad=51069607
