Title,Description,Products,Products_brands,Contact_url,Monthly_sells,Imports_to_LA,Rating
AQUA SYSTEMS INC,"Aqua Systems, cuenta con más de 30 años de experiencia en el mercado de Latinoamérica y El Caribe. Es distribuidor mayorista de Notebooks, All in One, Consolas, Accesorios, Línea Apple y Consumer Electronics en general. 
"," Notebooks, All in One, Ipads, Iwatchs, Iphones, Consolas, Controles, Speakers, Tablets, Headphones, Accesorios de ..."," Hp, Asus, Dell, Lenovo, Acer, Msi, Apple, Samsung, Google, Supermicro, Lg, Hitachi, Nintendo, Xbox, Playstation, Beast, Jbl, Amazon, Western Digital, 
",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=393,36697,True,3.82
DIALECTIC DISTRIBUTION,"Dialectic Distribution, es distribuidor mayorista de consumer electronics para Latinoamérica y El Caribe.

"," Laptops, Tablets, Ipads, Celulares, Consolas, Gaming, Speakers, Accesorios y consumer electronics en general."," Asus, Lenovo, Hp, Dell, Apple, Playstation, Nintendo, Xbox, Jbl, Beats, Fire Tv, Google. 
",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=358,19701,True,3.89
"EXPERT TECHNOLOGY GROUP, INC","Expert Technology Group, cuenta con más de 20 años de experiencia en el mercado tecnológico. Somos distribuidores mayorista de Laptops, Impresoras, Insumos, componentes de cómputo y consumer electronics en general para Latinoamérica y El Caribe. 

"," Cpu, memorias, discos duros, ópticos, monitores, tv’s, cases, accesorios, tabletas, celulares, consolas, proyectores, cámaras digitales, drones, Laptops"," Todas las marcas 
",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=65,18725,True,3.94
FLORIDA STATE GAMES,"Florida State Games, cuenta con más de 30 años de experiencia en el mercado. Distribuye al por mayor de consolas, juegos, controles, accesorios para Latinoamérica y El Caribe. 

"," Consolas, juegos, controles, accesorios."," Playstation, Xbox, Nintendo, Google, Sony, Microsoft, Samsung.
",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=87,11635,False,4.22
GAME CENTER DISTRIBUTION,"Game Center Distribution es distribuidor mayorista de videojuegos, Sistemas, accesorios Juegos, tarjetas, Ipads, iwatchs y mucho más para Latinoamérica y El Caribe 

"," Consolas, Juegos, Tarjetas, Accesorios, Ipads, iwatch."," Apple, Ps4, Nintendo, Sony, Xbox, Roku Google play, ITunes.
",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=171,36251,True,4.69
INGENIUM TRADE GROUP LLC,"Ingenium Trade Group LLC es distribuidor mayorista de productos de consumer electronics para Latinoamérica y El Caribe. 

Marca: Consumo electrónico en su totalidad, accesorios premium, audio, streaming, conectividad, gaming, cuidado personal y trading de overstocks. 
Productos: PlayStation , Microsoft , Nintendo, Roku, Google, Amazon, JBL, Phillips, Twelve South , VIVITAR, Billboard, Altec Lansing, BLOGY, Motorola, ELLE. ",,,https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=385,30071,True,2.75
NASA ELECTRONICS CORPORATION,"Nasa Electronics, es distribuidor mayorista de productos de Consumer Electronics para Latinoamérica y El Caribe. Así mismo es Authorized Reseller de Apple y distribuidor autorizado de la marca JBL.  

"," Celulares, consolas de video juegos, laptops, tablets, accesorios, speakers, línea (google y Jbl) y la línea completa de Apple (Iphone: Nuevos, Cpo, Usados, airpods, Apple watch, ipads, macbooks)."," Apple, Jbl, Xiaomi, Playstation, Xbox, Google, Microsoft, Logitech, Hp, Dell, Seagate, Western Digital. 
",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=207,41541,True,4.3
"PAN OCEAN INTERNATIONAL, INC","Pan Ocean International Inc, es distribuidor mayorista de productos de Consumer Electronics para Latinoamérica y El Caribe.  

"," Celulares, smart watch, ipads, tabletas, laptops, consolas de video juegos, cámaras, speakers, headphones."," Iphone, Samsung, Xiaomi, Nokia, Motorola, Lg, Htc, Sony, Realme, Huawei, Lenovo, Hp, Asus, Acer, Blackberry, Alcatel, Zte, Cat, Google, Amazon, Canon, Nikon, Go Pro, Nintendo, Panasonic, Bose, Wahl, Yamaha, Nest, Fitbit, Jbl, Beats, Kindle, Karcher. 
",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=259,21639,True,3.78
RELIANCE TRADING,"Distribuidor Mayorista de Laptops, de toda la Línea Apple: IPhone Nuevos, CPO, OEM, Consolas y Consumer Electronics en general para toda Latinoamérica y El Caribe. 

"," Consolas, Celulares, Accesorios, Consumer Electronics"," Dell, Asus, Lenovo, Hp, Acer, Apple, Ps4, Nintendo, Xbox, Google
",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=310,14093,True,4.58
TECH TOWN,"Distribuidor Mayorista de Consolas de Video Juegos, Accesorios y más. 

"," Consolas, Accesorios 
"," PlayStation, Xbox, Nintendo.",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=381,16921,True,4.2
TECHSAURUS,"Techsaurus, somos distribuidores mayoristas de tecnología, más confiables de América, contamos con más de 12 años de experiencia en la industria, trabajando con las marcas más reconocidas del mercado.  

"," Celulares, Consolas, Accesorios, Speakers, Headphones, Camaras y Consumer Electronics en General."," Samsung, Nokia, Huawei, Motorola, Sony, Microsoft, Nintendo, SanDisk, Virzo, Lg, Apple, Jbl, Alcatel Xbox, Playstation, Xiaomi, Go Pro, Cat. 
",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=255,15336,False,4.5
VEGA TECH SOLUTION – VETESO,"Vega Tech Solution (Veteso), es distribuidor mayorista de celulares, consolas, laptops, accesorios, dispositivos inteligentes y consumer electronics en general para Latinoamérica y El Caribe. Contamos con Iphones HSO.  

"," Celulares, consolas, laptops, accesorios, dispositivos inteligentes y consumer electronics en general."," Apple, Samsung, Xiaomi, Huawei, Honor, Nintendo, Xbox, Playstation, Hp, Dell, Lenovo. 
",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=315,32203,True,4.79
WIRELESS WORLD,"Distribuidor Mayorista de la línea Apple, Consolas & Juegos, Consumer Electronics en general. 

"," Iphones, IPads, Apple Watch, AirPods, MacBooks, Apple TV, Accesorios, Consolas, juegos, línea Google, Linea Amazon, Roku, Laptops, Camaras, Jbl, Beats, Bose, Microsoft, Dyson, MSI, Nest, Dji, Honeywell, Garmln, Fitbit, i Robot, iTunes y Google play. , entre otros productos más. 
"," Apple, Ademas, Playstation, Xbox,Nintendo , Sega, Google, Amazon Roku,Samsung, DELL, HP, Lenovo, Alienware, Gopro, Sony Canon, Nikon",https://compredesdemiami.com/catalog/videojuegos/detail.php?ID=417,43107,False,4.68
